_id,schoolId,name,profilePictureUrl,rollNo,email,mobileNumber,address,DOB,specialization,roles,isTeacher
596393970148403c09542001,596393970148403c09541001,Stella,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,50,stella@gmail.com,123456,"chennai,india",7/20/1985,Mathematics,1400,TRUE
596393970148403c09542002,596393970148403c09541001,Martin,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,51,martin@gmail.com,123457,"chennai,india",7/21/1985,English,1600/1400,TRUE
596393970148403c09542003,596393970148403c09541001,Priya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,52,priya@gmail.com,123458,"chennai,india",7/22/1985,Science,1800/1400,TRUE
596393970148403c09542004,596393970148403c09541001,Kumar,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,53,kumar@gmail.com,123459,"chennai,india",7/23/1985,Tamil,1400,TRUE
596393970148403c09542005,596393970148403c09541001,Prabu,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,54,prabu@gmail.com,123460,"chennai,india",7/24/1985,Social Science,1400,TRUE
596393970148403c09542006,596393970148403c09541001,Deepa,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,55,deepa@gmail.com,123461,"chennai,india",7/25/1985,Hindi,1400,TRUE
596393970148403c09542007,596393970148403c09541001,Arul,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,56,arul@gmail.com,123462,"chennai,india",7/26/1985,Mathematics,1400,TRUE
596393970148403c09542008,596393970148403c09541001,Rajesh,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,57,rajesh@gmail.com,123463,"chennai,india",7/27/1985,English,1400,TRUE
596393970148403c09542009,596393970148403c09541001,Vinoth,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,58,vinoth@gmail.com,123464,"chennai,india",1/27/1986,Science,1400,TRUE
596393970148403c09542010,596393970148403c09541001,Rahul,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,59,rahul@gmail.com,123465,"chennai,india",1/28/1986,Tamil,1400,TRUE
596393970148403c09542011,596393970148403c09541001,Ashok,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,60,ashok@gmail.com,123466,"chennai,india",1/29/1986,Social Science,1400,TRUE
596393970148403c09542012,596393970148403c09541001,Vimal,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,61,vimal@gmail.com,123467,"chennai,india",1/30/1986,Hindi,1400,TRUE
596393970148403c09542013,596393970148403c09541001,Veera,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,62,veera@gmail.com,123468,"chennai,india",01-01-86,Mathematics,1400,TRUE
